,Country,Region,Regulated Designation,Grape variety,Degree of alcohol,Sugar content,Color,Size,Producer,Promoting agent,SAQ code,UPC code,Product of Québec,productSku,productName,productCategory,productPrice,productInStock,productType,productAvgScore,productReviews,image_link,Designation of origin,Classification,Special feature
2585,United States,"California, Central Coast",American Viticultural Areas (AVA),"Grenache 75 %, Syrah 17 %, Mourvèdre 8 %",13.1 %,2.9 g/L,Red,750 ml,Bonny Doon Vineyard,Noble Sélection,12268557,00769434108262,,12268557,Bonny Doon Vineyard Clos de Gilroy,Products,29.4,false,simple,0,,https://www.saq.com/media/catalog/product/1/2/12268557-1_1580666718.png,Monterey,,
2586,United States,Washington,American Viticultural Areas (AVA),"Sauvignon blanc 96 %, Sémillon 4 %",13 %,4.4 g/L,White,750 ml,Bodewell,Les Sélections François Fréchette,14133971,00604286789965,,14133971,Bodewell Sauvignon Blanc Columbia Valley,Products,19.95,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14133971-1_1578552317.png,Columbia Valley,,
2587,France,,Wine of France,Chardonnay,0.5 %,39 g/L,White,750 ml,Groupe Uccoar SA,Univins et spiritueux Inc,12663039,03249381112910,,12663039,Bonne Nouvelle Chardonnay,Products,8.25,false,simple,0,,https://www.saq.com/media/catalog/product/1/2/12663039-1_1578358820.png,,,
2588,United States,California,Table wine,Cabernet sauvignon 100 %,13.9 %,8 g/L,Red,750 ml,Wagner Family of Wine,La Céleste Levure inc.,14365713,00017224710202,,14365713,Bonanza Cabernet-Sauvignon,Products,27.95,false,simple,5,1,https://www.saq.com/media/catalog/product/1/4/14365713-1_1583955447.png,,,
2589,United States,California,Table wine,"Sauvignon blanc 95 %, Muscat 4 %, Chardonnay 1 %",13 %,3.4 g/L,White,750 ml,Bonterra Vineyards,Escalade Wines &amp; Spirits,11091905,00082896062621,,11091905,Bonterra Sauvignon Blanc Lake/Mendocino County,Products,20.55,false,simple,0,,https://www.saq.com/media/catalog/product/1/1/11091905-1_1580612415.png,,,Organic product
2590,United States,California,Table wine,Pinot noir 100 %,14.5 %,2.4 g/L,Red,750 ml,Bonterra Vineyards,Escalade Wines &amp; Spirits,13920076,00082896000043,,13920076,Bonterra Pinot Noir Mendocino County,Products,26.05,false,simple,0,,,,Barrel fermented,Organic product
2591,Germany,Rhein,Landwein,Merlot 100 %,0 %,48 g/L,Red,750 ml,Grands Chais de France,Les Sélections François Fréchette,13478880,03263280116664,,13478880,Bon Voyage Merlot,Products,9.95,false,simple,5,1,,,,
2592,Italy,Piedmont,Denominazione di origine controllata e garantita (DOCG),Nebbiolo 100 %,14.5 %,,Red,750 ml,Giacomo Borgogno &amp; Figli,Noble Sélection,13693758,08003807002040,,13693758,Borgogno Cannubi,Products,146.5,false,simple,0,,,Barolo,,
2593,Italy,Friuli-Venezia Giulia,DOP/DOC Denominazione di orgine controllata / protetta,Friulano 100 %,13.5 %,3.6 g/L,White,750 ml,Mauro Mauri,Oenopole Inc.,13226586,08032668790100,,13226586,Borgo San Daniele Friulano,Products,31.5,false,simple,0,,,Friuli Isonzo / Isonzo del Friuli,,
2594,Italy,Piedmont,DOP/DOC Denominazione di orgine controllata / protetta,Barbera 100 %,15 %,2.9 g/L,Red,750 ml,Giacomo Borgogno &amp; Figli,Noble Sélection,13737626,08003807000879,,13737626,Borgogno Barbera d'Alba,Products,23.4,false,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13737626-1_1578541517.png,Barbera dAlba,,
2595,Spain,,Denominación de origen (DO),Listán Negro 100 %,12.5 %,1.4 g/L,Red,750 ml,Borja Pérez Viticultor SLU,Dame-Jeanne Inc,13863796,00760412240875,,13863796,Borja Pérez Viticultor Artífice Tinto,Products,26.1,false,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13863796-1_1578544219.png,,,
2596,Italy,Tuscany,Denominazione di origine controllata e garantita (DOCG),Sangiovese 100 %,13.5 %,3.3 g/L,Red,750 ml,Azienda Agricola Tenuta Caparzo,Montalvin Inc. (GB),10560351,08004012000227,,10560351,Borgo Scopeto Chianti Classico Riserva,Products,28.2,false,simple,0,,https://www.saq.com/media/catalog/product/1/0/10560351-1_1580598019.png,Chianti Classico,Riserva,
2597,Italy,Piedmont,DOP/DOC Denominazione di orgine controllata / protetta,Nebbiolo 100 %,14 %,1.4 g/L,Red,750 ml,Giacomo Borgogno &amp; Figli,Noble Sélection,13551426,08003807000886,,13551426,Borgogno Langhe Nebbiolo,Products,29.85,false,simple,5,1,https://www.saq.com/media/catalog/product/1/3/13551426-1_1594758914.png,Langhe,,
2598,Italy,"Tuscany, Toscana",IGP/IGT Indicazione Geografica protetta / tipica,"Sangiovese 60 %, Cabernet sauvignon 20 %, Syrah 20 %",13.5 %,5.8 g/L,Red,750 ml,Borgo Scopeto E Caparzo SRL,Montalvin Inc. (GB),13210939,08004012001590,,13210939,Borgo Scopeto Borgonero,Products,19.9,false,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13210939-1_1578442509.png,,,
2599,Italy,Piedmont,Denominazione di origine controllata e garantita (DOCG),Nebbiolo 100 %,13.5 %,1.8 g/L,Red,750 ml,Boroli,Vins et spiritueux Breakthru Canada inc.,14453887,08027737503125,,14453887,Boroli Barolo,Products,59,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14453887-1_1594828218.png,Barolo,,
2600,France,Bordeaux,(AOC/AOP) Appellation origine controlée/protégée,"Cabernet sauvignon 65 %, Merlot 35 %",12.5 %,2.8 g/L,Red,750 ml,CDR,Les Sélections François Fréchette,13988151,03303292710426,,13988151,Bordeaux de Gloria,Products,19,false,simple,0,,https://www.saq.com/media/catalog/product/1/3/13988151-1_1578547813.png,Bordeaux,,
2601,United States,Washington,American Viticultural Areas (AVA),"Cabernet sauvignon 80 %, Syrah 20 %",14.9 %,1.9 g/L,Red,750 ml,Bookwalter Winery,Sélections Daniel Ménard (7210779 Canada,14041807,00080960100644,,14041807,Bookwalter Readers Columbia Valley,Products,38,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14041807-1_1578550210.png,Columbia Valley,Barrel fermented,
2602,United States,California,Table wine,"Viognier 98 %, Chardonnay 1 %, Muscat 1 %",13.6 %,2.5 g/L,White,750 ml,Bonterra Vineyards,Escalade Wines &amp; Spirits,898767,00082896740437,,898767,Bonterra Viognier Lake & Mendocino County,Products,20.65,false,simple,0,,https://www.saq.com/media/catalog/product/8/9/898767-1_1580607318.png,,,Organic product
2603,Italy,Piedmont,Denominazione di origine controllata e garantita (DOCG),Nebbiolo 100 %,14 %,,Red,750 ml,Giacomo Borgogno &amp; Figli,Noble Sélection,13694380,08003807001326,,13694380,Borgogno Pinin Barolo,Products,71.75,false,simple,0,,https://www.saq.com/media/catalog/product/1/3/13694380-1_1583155509.png,Barolo,,
2604,United States,California,Table wine,Chardonnay 100 %,14 %,,White,750 ml,Bonterra Vineyards,Escalade Wines &amp; Spirits,13920210,00082896000944,,13920210,Bonterra The Roost Blue Heron Vineyard Mendocino County,Products,60.25,false,simple,0,,,,Barrel fermented,
2605,Italy,Piedmont,Denominazione di origine controllata e garantita (DOCG),Nebbiolo 100 %,14.5 %,,Red,750 ml,Giacomo Borgogno &amp; Figli,Noble Sélection,13693740,08003807002057,,13693740,Borgogno Fossati,Products,91.25,false,simple,0,,,Barolo,,
2606,Spain,Vallée de lEbre,Denominación de origen calificada (DOCa),"Tempranillo 80 %, Garnacha tintorera 20 %",14 %,1.7 g/L,Red,750 ml,Bodegas Franco-Espanola SA,Mosaiq Vins et Spiritueux Inc.,11383561,08410106022851,,11383561,Bordon Gran Reserva Rioja,Products,27.5,false,simple,4,1,https://www.saq.com/media/catalog/product/1/1/11383561-1_1588617317.png,Rioja Alta,Gran reserva,
2607,Italy,Piedmont,DOP/DOC Denominazione di orgine controllata / protetta,Timorasso 100 %,14.5 %,,White,750 ml,Giacomo Borgogno &amp; Figli,Noble Sélection,13904931,08003807002156,,13904931,Borgogno Derthona,Products,50,false,simple,0,,https://www.saq.com/media/catalog/product/1/3/13904931-1_1581368415.png,Colli Tortonesi,,
2608,Italy,Veneto,Denominazione di origine controllata e garantita (DOCG),"Corvina 80 %, Rondinella 20 %",14.5 %,9.8 g/L,Red,750 ml,Provinco Italia S.P.A,Importations BMT Inc,12777407,08024209007983,,12777407,Borelli Amarone Della Valpolicella,Products,39.75,false,simple,0,,https://www.saq.com/media/catalog/product/1/2/12777407-1_1578410108.png,Amarone della Valpolicella,,
2609,Italy,Piedmont,Denominazione di origine controllata e garantita (DOCG),Nebbiolo 100 %,14 %,,Red,750 ml,Braeval Distillery,Noble Sélection,13737642,08003807002095,,13737642,Borgogno I Love Barolo,Products,71.75,false,simple,0,,https://www.saq.com/media/catalog/product/1/3/13737642-1_1578541517.png,Barolo,,
2610,Spain,Vallée de lEbre,Denominación de origen (DO),"Grenache 72 %, Syrah 16 %, Mazuelo 12 %",15.5 %,2.1 g/L,Red,750 ml,Bodegas Borsao SA,Authentic Vins et Spiritueux inc,14273608,08412423121682,,14273608,Borsao Cabriola Campo de Borja,Products,18.15,false,simple,0,0,https://www.saq.com/media/catalog/product/1/4/14273608-1_1580352621.png,Campo de Borja,,
2611,Spain,Vallée de lEbre,Denominación de origen (DO),"Chardonnay 50 %, Macabeo 50 %",13.5 %,2.2 g/L,White,750 ml,Bodegas Borsao SA,Authentic Vins et Spiritueux inc,10856161,08412423120746,,10856161,Borsao Seleccion Campo de Borja,Products,12.8,false,simple,0,0,https://www.saq.com/media/catalog/product/1/0/10856161-1_1590005716.png,Campo de Borja,,
2612,South Africa,"Western Cape, Coastal Region",Wine of origin (WO),"Shiraz 60 %, Mourvèdre 40 %",14 %,1.9 g/L,Red,750 ml,Boschendal Wines,Vinicolor-Les Vins Alexandre St-Pierre,12455467,06001506906982,,12455467,Boschendal 1685 S & M,Products,20,false,simple,0,,https://www.saq.com/media/catalog/product/1/2/12455467-1_1580665519.png,Coastal Region,,
2613,Spain,Vallée de lEbre,Denominación de origen (DO),"Grenache 70 %, Syrah 30 %",15 %,2.6 g/L,Red,750 ml,Bodegas Borsao SA,Authentic Vins et Spiritueux inc,12885344,08412423120999,,12885344,Borsao Bole Campo de Borja,Products,17.9,false,simple,0,,https://www.saq.com/media/catalog/product/1/2/12885344-1_1578413118.png,Campo de Borja,,
2614,Italy,Tuscany,Denominazione di origine controllata e garantita (DOCG),"Sangiovese 90 %, Colorino 5 %, Merlot 5 %",13 %,2.1 g/L,Red,750 ml,Borgo Scopeto SRL,Montalvin Inc. (GB),13460647,08004012000203,,13460647,Borgo Scopeto Chianti Classico,Products,18.8,false,simple,0,,https://www.saq.com/media/catalog/product/1/3/13460647-1_1578535820.png,Chianti Classico,Classico,
2615,Italy,Piedmont,Denominazione di origine controllata e garantita (DOCG),Nebbiolo 100 %,14.5 %,,Red,750 ml,Giacomo Borgogno &amp; Figli,Noble Sélection,14296025,08003807002118,,14296025,Borgogno Cannubi,Products,151.25,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14296025-1_1580352917.png,Barolo,,
2616,United States,"California, Inland Valleys",American Viticultural Areas (AVA),Cabernet sauvignon 100 %,13 %,7.6 g/L,Red,3 L,Delicato Family Vineyards,Sélect Vins Ltée.,13891041,00082242010450,,13891041,Bota Box Cabernet Sauvignon,Products,42.9,false,simple,0,,https://www.saq.com/media/catalog/product/1/3/13891041-1_1578544817.png,Lodi,,
2617,South Africa,,Table wine,"Cabernet sauvignon 43 %, Merlot 25 %, Cabernet franc 23 %, Petit verdot 9 %",14 %,2.8 g/L,Red,750 ml,Botanica wines,Société Commerciale Clément,14047424,06009802018637,,14047424,Botanica wines Arboretum,Products,29.95,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14047424-1_1578550224.png,,,
2618,France,"Bourgogne, Côte de Nuits",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13.5 %,,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,14557168,03337690198074,,14557168,Bouchard Père & Fils Chambolle-Musigny,Products,83.5,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14557168-1_1601489459.png,Chambolle-Musigny,,
2619,France,"Bourgogne, Mâconnais",(AOC/AOP) Appellation origine controlée/protégée,,12.5 %,1.9 g/L,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,41350,03337690174795,,41350,Bouchard Père & Fils Mâcon,Products,16.1,false,simple,0,,https://www.saq.com/media/catalog/product/4/1/41350-1_1580600725.png,Mâcon,,
2620,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,13.5 %,,White,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,12495485,03337690190221,,12495485,Bouchard Père & Fils Beaune Premier Cru Clos Saint-Landry,Products,84.25,false,simple,0,,https://www.saq.com/media/catalog/product/1/2/12495485-1_1580667911.png,Beaune Premier Cru,,
2621,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,13 %,,White,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,14556000,03337690197572,,14556000,Bouchard Père & Fils Meursault Premier Cru Genevrières,Products,125.25,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14556000-1_1601489459.png,Meursault Premier Cru,,
2622,South Africa,"Western Cape, Cape South Coast",Wine of origin (WO),"Sangiovese 46 %, Other grape variety (ies) 20 %, Pinot noir 18 %, Nebbiolo 16 %",14 %,,Red,750 ml,Bouchard Finlayson,Vintrinsec (7909284 Canada inc.),13630546,06004589000035,,13630546,Bouchard Finlayson Hannibal,Products,41,false,simple,0,,https://www.saq.com/media/catalog/product/1/3/13630546-1_1580668213.png,Walker Bay,Estate bottled,
2623,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,13 %,,White,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,13834426,03337690197367,,13834426,Bouchard Père & Fils Meursault Les Clous,Products,71.5,false,simple,0,,https://www.saq.com/media/catalog/product/1/3/13834426-1_1578543020.png,Meursault,,
2624,South Africa,"Western Cape, Coastal Region",Wine of origin (WO),"Cabernet 87 %, Merlot 13 %",14 %,2.6 g/L,Red,750 ml,Boschendal Wines,Vinicolor-Les Vins Alexandre St-Pierre,13621471,06001660003800,,13621471,Boschendal Lanoy Western Cape,Products,15,false,simple,0,,https://www.saq.com/media/catalog/product/1/3/13621471-1_1578539412.png,Coastal Region,,
2625,South Africa,"Western Cape, Western Cape",Wine of origin (WO),Chardonnay 100 %,13.5 %,2.6 g/L,White,750 ml,Boschendal Wines,Vinicolor-Les Vins Alexandre St-Pierre,935833,04711400003824,,935833,Boschendal Chardonnay Western Cape,Products,16,false,simple,0,0,https://www.saq.com/media/catalog/product/9/3/935833-1_1580618411.png,Western Cape,,
2626,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13 %,,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,14555832,03337690199019,,14555832,Bouchard Père & Fils Beaune Premier Cru Teurons,Products,70.25,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14555832-1_1601489459.png,Beaune Premier Cru,,
2627,Italy,"Tuscany, Toscana",IGP/IGT Indicazione Geografica protetta / tipica,,12 %,2.6 g/L,Red,750 ml,Castellani SPA,Sélections Oeno Inc,909093,08002153994399,,909093,Bottàro,Products,20.45,false,simple,0,0,https://www.saq.com/media/catalog/product/9/0/909093-1_1604689532.png,,,
2628,France,"Bourgogne, Bourgogne",(AOC/AOP) Appellation origine controlée/protégée,Aligoté,12 %,&lt;1.2 g/L,White,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,464594,03337690173521,,464594,Bouchard Père & Fils Bourgogne Aligoté,Products,17.25,false,simple,0,,https://www.saq.com/media/catalog/product/4/6/464594-1_1580601322.png,Bourgogne Aligoté,,
2629,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,14.5 %,,White,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,14041760,03337690176690,,14041760,Bouchard Père & Fils Beaune Premier Cru  Beaune du Château,Products,53.25,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14041760-1_1578550209.png,Beaune Premier Cru,,
2630,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,12.5 %,1.9 g/L,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,864397,03337690177925,,864397,Bouchard Père & Fils Côte de Beaune Villages,Products,30.25,false,simple,0,,https://www.saq.com/media/catalog/product/8/6/864397-1_1601561465.png,Côte de Beaune-Villages,,
2631,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13 %,1.6 g/L,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,11472513,03337690190283,,11472513,Bouchard Père & Fils Beaune Premier Cru Teurons,Products,70.25,false,simple,0,,https://www.saq.com/media/catalog/product/1/1/11472513-1_1580622012.png,Beaune Premier Cru,,
2632,France,"Bourgogne, Côte de Nuits",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13.5 %,,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,14148655,03337690190214,,14148655,Bouchard Père & Fils Chambertin Clos de Bèze Grand Cru,Products,511,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14148655-1_1578552909.png,Chambertin-Clos-de-Bèze Grand Cru,,
2633,South Africa,"Western Cape, Coastal Region",Wine of origin (WO),"Sauvignon blanc 90 %, Sémillon 10 %",13 %,2.5 g/L,White,750 ml,DGB (Pty) Ltd.,Vinicolor-Les Vins Alexandre St-Pierre,14038131,06001506908719,,14038131,Boschendal Sommelier Selection Coastal Region,Products,17.55,false,simple,0,0,https://www.saq.com/media/catalog/product/1/4/14038131-1_1578549921.png,Coastal Region,,
2634,Greece,Peloponnese,Protected designation of origin (PDO),Moschophilero 100 %,13 %,1.4 g/L,White,750 ml,Bosinakis Winery,Sélection Dubonjus,14031570,05200372400155,,14031570,Bosinakis Mantinia Moschofilero,Products,22.75,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14031570-1_1578549626.png,Mantinia,,
2635,Italy,"Veneto, Veneto",DOP/DOC Denominazione di orgine controllata / protetta,Chardonnay 100 %,13 %,4.9 g/L,White,750 ml,Paladin SpA,Vertigo Vins et Spiritueux Inc.,14299832,08006297000213,,14299832,Bosco del Merlo Nicopeja Venezia,Products,21.2,false,simple,0,0,https://www.saq.com/media/catalog/product/1/4/14299832-1_1581368418.png,Venezia,,
2636,France,"Bourgogne, Bourgogne",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13 %,2 g/L,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,10796516,03337690172975,,10796516,Bouchard Père & Fils Bourgogne Pinot Noir,Products,25.1,false,simple,0,,https://www.saq.com/media/catalog/product/1/0/10796516-1_1580600427.png,Bourgogne,,
2637,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,13.5 %,&lt;1.2 g/L,White,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,872531,03337690176508,,872531,Bouchard Père & Fils Meursault,Products,65.5,false,simple,0,0,https://www.saq.com/media/catalog/product/8/7/872531-1_1602259842.png,Meursault,,
2638,France,"Bourgogne, Côte de Nuits",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13 %,2.1 g/L,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,918284,03337690176782,,918284,Bouchard Père & Fils Gevrey Chambertin,Products,65.5,false,simple,0,0,https://www.saq.com/media/catalog/product/9/1/918284-1_1580608219.png,Gevrey-Chambertin,,
2639,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13.5 %,2.5 g/L,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,918292,03337690176911,,918292,Bouchard Père & Fils Beaune Premier Cru Beaune du Château,Products,52.25,false,simple,0,,https://www.saq.com/media/catalog/product/9/1/918292-1_1580608219.png,Beaune Premier Cru,,
2640,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13.5 %,,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,14148621,03337690190030,,14148621,Bouchard Père et Fils Corton Grand Cru Le Corton,Products,179,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14148621-1_1578552626.png,Corton Grand Cru,,
2641,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13 %,,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,13957506,03337690165342,,13957506,Bouchard Père et Fils Beaune Premier Cru Clos de la Mousse,Products,72.75,false,simple,0,,,Beaune Premier Cru,,
2642,Italy,Piedmont,Denominazione di origine controllata e garantita (DOCG),Barbera 100 %,16 %,,Red,750 ml,Braida di Bologna Giacomo SRL,Vins Balthazard Inc. (CAD),13986024,08024384022566,,13986024,Braida di Bologna Giacomo Ai Suma Barbera d'Asti,Products,119,false,simple,0,,https://www.saq.com/media/catalog/product/1/3/13986024-1_1578547523.png,Barbera dAsti,,
2643,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13.5 %,,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,14148612,03337690190016,,14148612,Bouchard Père & Fils Volnay Premier Cru Caillerets Ancienne Cuvée Carnot,Products,115.75,false,simple,0,,,Volnay Premier Cru,,
2644,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13 %,,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,13820905,04000138209050,,13820905,Bouchard Père & Fils Volnay Premier Cru Caillerets Ancienne Cuvée Carnot,Products,170.75,false,simple,0,,,Volnay Premier Cru,,
2645,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13 %,1.9 g/L,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,872549,03337690178069,,872549,Bouchard Père & Fils Pommard,Products,65.5,false,simple,0,,https://www.saq.com/media/catalog/product/8/7/872549-1_1580606419.png,Pommard,,
2646,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,14 %,,White,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,12492727,03337690158597,,12492727,Bouchard Père et Fils Chevalier-Montrachet Grand Cru La Cabotte Chevalier-Montrachet,Products,688,false,simple,0,,,Chevalier-Montrachet Grand Cru,,
2647,France,"Bourgogne, Côte de Nuits",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13.5 %,,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,14148639,03337690190184,,14148639,Bouchard Père et Fils Clos de Vougeot Grand Cru,Products,305.5,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14148639-1_1578552626.png,Clos de Vougeot Grand Cru,,
2648,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13.5 %,,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,13856801,04000138568010,,13856801,Bouchard Père et Fils Corton Grand Cru Le Corton,Products,170.75,false,simple,0,,https://www.saq.com/media/catalog/product/1/3/13856801-1_1578543910.png,Corton Grand Cru,,
2649,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,13 %,,White,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,14148698,03337690190092,,14148698,Bouchard Père & Fils Meursault Premier Cru Perrières,Products,136.5,false,simple,0,0,https://www.saq.com/media/catalog/product/1/4/14148698-1_1578552910.png,Meursault Premier Cru,,
2650,France,"Bourgogne, Bourgogne",(AOC/AOP) Appellation origine controlée/protégée,Aligoté 100 %,12.5 %,&lt;1.2 g/L,White,750 ml,Domaine Taupenot-Merme,Univins et spiritueux Inc,919175,03560960003444,,919175,Bourgogne Aligoté Taupenot-Merme,Products,25.25,false,simple,0,0,https://www.saq.com/media/catalog/product/9/1/919175-1_1580608224.png,Bourgogne Aligoté,,
2651,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,13 %,,White,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,13130470,03337690196278,,13130470,Bouchard Père & Fils Puligny-Montrachet,Products,89,false,simple,0,,https://www.saq.com/media/catalog/product/1/3/13130470-1_1581314422.png,Puligny-Montrachet,,
2652,France,"Vallée de la Loire, Touraine",(AOC/AOP) Appellation origine controlée/protégée,Chenin blanc 100 %,12.5 %,25 g/L,White,750 ml,Bougrier SA,Divin Paradis Inc.,11461970,03172250000158,,11461970,Bougrier Vouvray Douce France,Products,17.85,false,simple,0,0,https://www.saq.com/media/catalog/product/1/1/11461970-1_1580621715.png,Vouvray,,
2653,South Africa,"Western Cape, Coastal Region",Wine of origin (WO),Shiraz 100 %,13.5 %,3.3 g/L,Red,750 ml,Brampton,Vinicolor-Les Vins Alexandre St-Pierre,10678341,06001506906975,,10678341,Brampton Shiraz,Products,19.3,false,simple,0,,https://www.saq.com/media/catalog/product/1/0/10678341-1_1580598619.png,Coastal Region,,
2654,France,"Bourgogne, Côte de Nuits",(AOC/AOP) Appellation origine controlée/protégée,Pinot noir 100 %,13 %,,Red,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,13957830,03337690165694,,13957830,Bouchard Père et Fils Nuits-Saint-Georges Premier Cru les Porrets Saint-Georges,Products,118.75,false,simple,0,,,Nuits-Saint-Georges Premier Cru,,
2655,France,"Bourgogne, Côte de Beaune",(AOC/AOP) Appellation origine controlée/protégée,Chardonnay 100 %,13 %,,White,750 ml,Bouchard Père &amp; Fils,Sylvestre Vins et Spiritueux Inc.,13834442,04000138344423,,13834442,Bouchard Père & Fils Meursault Premier Cru Perrières,Products,130.5,false,simple,0,,,Meursault Premier Cru,,
2656,Italy,Piedmont,Denominazione di origine controllata e garantita (DOCG),Barbera 100 %,14.5 %,,Red,750 ml,Braida di Bologna Giacomo SRL,Vins Balthazard Inc. (CAD),13183192,08024384021156,,13183192,"Braida Bricco Dell'Uccellone Barbera d'Asti
",Products,92,false,simple,0,,,Barbera dAsti,,
2657,Greece,Macedoine,Protected designation of origin (PDO),Xinomavro 100 %,12.5 %,1.6 g/L,Red,750 ml,John Boutari &amp; Son SA,Authentic Vins et Spiritueux inc,23218,05201022540504,,23218,Boutari Naoussa,Products,21.05,false,simple,0,,https://www.saq.com/media/catalog/product/2/3/23218-1_1580592914.png,Naoussa,,
2658,Italy,Piedmont,Denominazione di origine controllata e garantita (DOCG),Barbera 100 %,15 %,,Red,750 ml,Braida di Bologna Giacomo SRL,Vins Balthazard Inc. (CAD),14063459,08024384022269,,14063459,"Braida Bricco Dell'Uccellone Barbera d'Asti
",Products,101.25,false,simple,0,,https://www.saq.com/media/catalog/product/1/4/14063459-1_1578550523.png,Barbera dAsti,,
