Country,Region,Degree of alcohol,Color,Size,Producer,Promoting agent,SAQ code,UPC code,Product of Québec,productSku,productName,productCategory,productPrice,productInStock,productType,productAvgScore,image_link,productReviews,Classification,Special feature,Designation of origin,Regulated Designation,Grape variety,Sugar content
Canada,Quebec,40 %,,500 ml,Brasserie et Distillerie Oshlag,Produits Analug Inc.,14235741,06279871668730,Made in Québec,14235741,Abel,Products,38,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14235741-1_1578554711.png,0,,,,,,
Sweden,,40 %,,750 ml,The Absolut Company,Corby Spiritueux et Vins Limitée,12717412,07312040552276,,12717412,Absolut Reveal Edition,Products,25.7,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12717412-1_1582056313.png,,,,,,,
Canada,Ontario,40 %,Amber,750 ml,Bacardi Canada Inc.,Bacardi Canada Inc.,1206,00080480007584,,1206,Bacardi Gold,Products,25.05,true,simple,0,https://www.saq.com/media/catalog/product/1/2/1206-1_1580658928.png,0,,,,,,
United Kingdom,Scotland,40 %,Amber,1.14 L,George Ballantine &amp; Son Ltd,Corby Spiritueux et Vins Limitée,11405661,05010106111833,,11405661,Ballantine's Blended Scotch Whisky,Products,39.5,true,simple,5,https://www.saq.com/media/catalog/product/1/1/11405661-1_1580617515.png,1,,,,,,
Canada,,40 %,,750 ml,Distillerie Vice Vertu,Esprit Rézin 9317-2724 Qc Inc. (spirit.),12895180,00874381000986,Made in Québec,12895180,Au Pied de Cochon Gin de Mononcle,Products,45.5,true,simple,3,https://www.saq.com/media/catalog/product/1/2/12895180-1_1580330110.png,1,,,,,,
United States,Florida,35 %,,750 ml,Bacardi Bottling Corp,Bacardi Canada Inc.,398552,00080480980252,,398552,Bacardi Limon,Products,25.15,true,simple,0,https://www.saq.com/media/catalog/product/3/9/398552-1_1580600716.png,0,,,,,,
United States,Florida,35 %,,750 ml,Bacardi Bottling Corp,Bacardi Canada Inc.,12098092,00080480006761,,12098092,Bacardi Raspberry,Products,25.15,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12098092-1_1580659510.png,0,,,,,,
Haiti,,43 %,Amber,750 ml,Crillon Importers Ltd,Corporation Bella Vita International,11459722,00689768871314,,11459722,Barbancourt 4 Years Old,Products,37,true,simple,4,https://www.saq.com/media/catalog/product/1/1/11459722-1_1580621428.png,1,,,,,,
Dominican Republic,,40 %,Amber,750 ml,Barcelo Comercial Internacional SA,Société de Vins Fins Ltée.,11202361,07461323129398,,11202361,Barcelo Gran Anejo,Products,31.25,true,simple,5,https://www.saq.com/media/catalog/product/1/1/11202361-1_1580614813.png,2,,,,,,
United States,Florida,35 %,Amber,1.14 L,Bacardi Canada Inc.,Bacardi Canada Inc.,13478821,00080480984915,,13478821,Bacardi Spiced,Products,36.5,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13478821-1_1582896310.png,0,,,,,,
Canada,Ontario,40 %,,750 ml,Bacardi Canada Inc.,Bacardi Canada Inc.,117,00080480007577,,117,Bacardi Superior,Products,23.25,true,simple,0,https://www.saq.com/media/catalog/product/1/1/117-1_1580626214.png,0,,,,,,
Canada,Quebec,40 %,,750 ml,Spiritueux HC,Agence Les Insolites Inc.,14555171,00851595000018,Bottled in Québec,14555171,Aupale,Products,44.25,true,simple,5,https://www.saq.com/media/catalog/product/1/4/14555171-1_1600789569.png,20,Number of distilaltions,Kosher,,,,
Israel,,40 %,White,750 ml,Carmei ZVI - Segal Bros Ltd.,81750 Canada Ltée,10678894,00085662001978,,10678894,Askalon Extra Fine Arack,Products,30.75,true,simple,0,https://www.saq.com/media/catalog/product/1/0/10678894-1_1580598910.png,0,,Kosher,,,,
Canada,Alberta,40 %,,750 ml,Alberta Distillers (Beam Global Spirits),Beam Canada Inc.,14210156,00080686032021,,14210156,Banff Ice Summit,Products,25.85,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14210156-1_1605891032.png,,Number of distilaltions,,,,,
United Kingdom,"Scotland, Highlands",46 %,Golden,750 ml,Balblair Distillery,Importation Épicurienne Inc,14294134,00632070101419,,14294134,Balblair 12 ans Highlands Single Malt Scotch Whisky,Products,96.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14294134-1_1581017112.png,,12 ans,,,,,
France,Sud-Ouest,40 %,Amber,700 ml,Armagnac de Montal,Sélections Oeno Inc,14626320,03288620007105,,14626320,Armagnac de Montal,Products,106,true,simple,0,,,Vintage,,Bas Armagnac,Appellation origine controlée (AOC),"Ugni blanc 70 %, Baco blanc 30 %",
United States,Connecticut,13 %,White,750 ml,Diageo Canada Inc.,Diageo Canada Inc.,13305057,00082000776468,,13305057,Baileys Almande,Products,32,true,simple,1,https://www.saq.com/media/catalog/product/1/3/13305057-1_1578534016.png,1,,,,,,
United Kingdom,"Scotland, Highlands",46 %,Amber,700 ml,Edradour Distillery,Corporation Bella Vita International,14183400,00873094002096,,14183400,Ballechin 10 Years Old Single Malt Scotch Whisky,Products,94.5,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14183400-1_1578553514.png,,10 ans,,,,,
Ireland,,17 %,Beige,750 ml,R. &amp; A. Bailey &amp; Co.,Diageo Canada Inc.,5959,05011013100132,,5959,Baileys the Original,Products,30.25,true,simple,0,https://www.saq.com/media/catalog/product/5/9/5959-1_1580603127.png,0,,,,,,
United States,Florida,35 %,Amber,750 ml,Bacardi Bottling Corp,Bacardi Canada Inc.,13937396,00080480984939,,13937396,Bacardi Spiced,Products,24.95,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13937396-1_1582896312.png,,,,,,,
Puerto Rico,,40 %,Amber,750 ml,Bacardi Canada Inc.,Bacardi Canada Inc.,492520,00080480505400,,492520,Bacardi 8 Years Old,Products,33.5,true,simple,5,https://www.saq.com/media/catalog/product/4/9/492520-1_1580601626.png,1,,,,,,
Ireland,,17 %,Beige,1.14 L,R. &amp; A. Bailey &amp; Co.,Diageo Canada Inc.,10666826,05011013100095,,10666826,Baileys The Original,Products,40.25,true,simple,0,https://www.saq.com/media/catalog/product/1/0/10666826-1_1580598313.png,0,,,,,,
