Country,Region,Degree of alcohol,Color,Size,Producer,Promoting agent,SAQ code,UPC code,Product of Québec,productSku,productName,productCategory,productPrice,productInStock,productType,productAvgScore,image_link,productReviews,Classification,Special feature,Designation of origin,Regulated Designation,Grape variety,Sugar content
Canada,Ontario,35 %,,750 ml,La Distillerie Meaghers Ltée,Corby Spiritueux et Vins Limitée,5215,00048415163088,,5215,Meaghers Triple Sec,Products,24.8,true,simple,0,https://www.saq.com/media/catalog/product/5/2/5215-1_1580602217.png,,,,,,,
United Kingdom,"Scotland, Vallée de Spey",46 %,Golden,750 ml,Diageo Canada Inc.,Diageo Canada Inc.,14373545,00088076184633,,14373545,Mortlach 15 Years Old Game of Thrones Edition Speyside Single Malt Scotch Whisky,Products,199.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14373545-1_1605711341.png,,,,,,,
Canada,Quebec,43 %,,750 ml,Distillerie Mitis,Distillerie Mitis Inc. (R),14235960,00627987176957,Made in Québec,14235960,Mugo,Products,46.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14235960-1_1578554711.png,0,London dry gin,,,,,
United States,Florida,43 %,Amber,750 ml,The Tall Tale Spirits Company,Univins et spiritueux Inc,14021267,00627843611769,,14021267,Noxx & Dunn Straight Barrel,Products,29.95,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14021267-1_1606147815.png,,,,,,,
Canada,Quebec,40 %,,1.75 L,Les Distilleries Melville Ltée,Univins et spiritueux Inc,568410,00624177684100,Bottled in Québec,568410,Moskova,Products,48.5,true,simple,5,https://www.saq.com/media/catalog/product/5/6/568410-1_1580602826.png,1,,,,,,
Latvia,,40 %,,1.14 L,Amber Beverage Group,Mark Anthony Brands Ltd,11446622,04600659111155,,11446622,Moskovskaya,Products,35.75,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11446622-1_1584984920.png,0,,,,,,
Canada,Quebec,40 %,Amber,750 ml,1769 Distillery,Authentic Vins et Spiritueux inc,13535910,00628451469070,Made in Québec,13535910,MVodka Reserve,Products,44.5,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13535910-1_1605711340.png,,,,,,,
Italy,,24 %,Red,1 L,Ditta Bortolo Nardini S.P.A,LEnoteca di Moreno de Marchi,12014936,08000513100046,,12014936,Nardini Il Bitter,Products,50.25,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12014936-1_1580658616.png,,,,,,,
Canada,"Quebec, Quebec Region",19.5 %,Red,375 ml,Bernard Monna,Sélection Rezin (vins),10381661,00814258000022,Origine Québec,10381661,Monna & Filles Crème de Cassis,Products,25.2,true,simple,0,https://www.saq.com/media/catalog/product/1/0/10381661-1_1580596522.png,0,,,,,,490 g/L
Canada,Quebec,23 %,Brown,1.14 L,Monalisa,Univins et spiritueux Inc,12171940,00624177063769,Bottled in Québec,12171940,Monalisa Amaretto,Products,34.75,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12171940-1_1580660718.png,,,,,,,
Canada,Quebec,40 %,,750 ml,Distillerie Noroi,,14422992,00628504255377,Made in Québec,14422992,Noroi Liqueur d'Orange,Products,44.5,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14422992-1_1580353516.png,0,,Kosher,,,,
Canada,Quebec,40 %,,750 ml,Distillerie Noroi,,14210957,00628504255445,Bottled in Québec,14210957,Noroi Lemon and Lime,Products,39,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14210957-1_1580996422.png,0,,Kosher,,,,
Canada,Quebec,40 %,,750 ml,Distillerie Noroi,,14474119,00628504255254,Made in Québec,14474119,Noroi Gin aux Petits Fruits,Products,48.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14474119-1_1589284812.png,0,,,,,,
France,,69 %,Green,500 ml,Élie-Arnaud Denoix,Société Commerciale Clément,10333538,00645225430753,,10333538,Mythe Absinthe 69,Products,49.25,true,simple,0,https://www.saq.com/media/catalog/product/1/0/10333538-1_1580595924.png,,,,,,,
Canada,Quebec,23 %,,750 ml,Distillerie Noroi,,14396245,00628504255506,Origine Québec,14396245,Noroi Liqueur d'Érable,Products,44.75,true,simple,4,https://www.saq.com/media/catalog/product/1/4/14396245-1_1581017115.png,1,,,,,,
France,,45 %,White,700 ml,Distillerie Nusbaumer,Corporation Bella Vita International,11485349,03275570080708,,11485349,Nusbaumer Eau-de-Vie de framboise,Products,68.25,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11485349-1_1605714955.png,,,,,,,
Canada,Quebec,43 %,,750 ml,Distillerie Noroi,,14475066,00628504255209,Made in Québec,14475066,Noroi Dry Gin,Products,51.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14475066-1_1585319708.png,0,,Kosher,,,,
France,,17 %,Golden,700 ml,S.V.S. La Martiniquaise,Société Commerciale Clément,12103672,03012993058194,,12103672,Negrita Rum Cream,Products,20.45,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12103672-1_1580659518.png,0,,,,,,
Canada,Quebec,40 %,,750 ml,Distillerie Noroi,,14621001,00628504255292,Made in Québec,14621001,Noroi La poche Bleue Bleuets et Mûres Sauvages,Products,48.5,true,simple,5,https://www.saq.com/media/catalog/product/1/4/14621001-1_1604078140.png,1,,,,,,
Japan,,40 %,Amber,750 ml,Fraternity Spirits World Inc,Société Commerciale Clément,14450678,00606110892391,,14450678,Nobushi Blended Whisky,Products,66.5,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14450678-1_1604431835.png,0,,,,,,
United States,California,30 %,,750 ml,New Amsterdam,Gallo Canada Ltée (E. &amp; J.),14404701,00085000029626,,14404701,New Amsterdam Pink Whitney,Products,25.9,true,simple,5,https://www.saq.com/media/catalog/product/1/4/14404701-1_1582145735.png,4,,,,,,
Canada,Quebec,43 %,,375 ml,Distillerie Noroi,,14347996,00628504255216,Made in Québec,14347996,Noroi,Products,27.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14347996-1_1580336413.png,,,Kosher,,,,
Canada,Quebec,40 %,,750 ml,1769 Distillery,Authentic Vins et Spiritueux inc,12880113,00628451469032,Made in Québec,12880113,MVodka,Products,42,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12880113-1_1580258413.png,,,,,,,
Canada,Quebec,40 %,,375 ml,Distillerie Noroi,,14379541,00628504255346,Made in Québec,14379541,Noroi Liqueur d'Orange Vieillie en Barriques,Products,34.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14379541-1_1580353513.png,0,,,,,,
Germany,,47 %,White,500 ml,Monkey 47,Corby Spiritueux et Vins Limitée,12612063,00000042213277,,12612063,Monkey 47,Products,77.75,true,simple,5,https://www.saq.com/media/catalog/product/1/2/12612063-1_1578359413.png,1,London dry gin,,,,,
Mexico,Jalisco,40 %,,375 ml,The Patron Spirits Company,Bacardi Canada Inc.,12763056,00721733000944,,12763056,Patron Silver,Products,45,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12763056-1_1578409809.png,,,,,,,
Jamaica,,43 %,Amber,700 ml,Pierre Ferrand,Corporation Bella Vita International,13903719,03460410530981,,13903719,Plantation Rhum Jamaïque Xaymaca Special Dry,Products,37.5,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13903719-1_1578545110.png,0,Vieux,,,,,
Mexico,Jalisco,40 %,,750 ml,The Patron Spirits Company,Bacardi Canada Inc.,10689981,00721733000029,,10689981,Patron Silver,Products,79.75,true,simple,4,https://www.saq.com/media/catalog/product/1/0/10689981-1_1580598918.png,1,,,,,,
United Kingdom,England,42.5 %,,750 ml,Quintessential Brands,Sylvestre Vins et Spiritueux Inc.,12880691,00084279993638,,12880691,Opihr Oriental Spiced,Products,39.75,true,simple,2,https://www.saq.com/media/catalog/product/1/2/12880691-1_1578412814.png,1,London dry gin,,,London dry gin,,
Canada,Quebec,41 %,,750 ml,Brasserie et Distillerie Oshlag,Transbroue Inc.,14392658,00628055463771,Made in Québec,14392658,Oshlag Gin Dentdelion,Products,43,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14392658-1_1582145735.png,0,,,,,,
Canada,Quebec,43 %,Beige,750 ml,Distillerie Oushkabé inc.,,14475120,00181459000022,Made in Québec,14475120,Oushkabé Gin Tourbé,Products,45.5,true,simple,5,https://www.saq.com/media/catalog/product/1/4/14475120-1_1594925117.png,1,London dry gin,,,,,
Barbados,,40 %,Amber,700 ml,Pierre Ferrand,Corporation Bella Vita International,12260299,03460410527868,,12260299,Plantation Barbados 5 ans Grand Terroir,Products,37,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12260299-1_1580662216.png,0,Mention dâge,,,,,
Mexico,,35 %,,750 ml,The Patron Spirits Company,Bacardi Canada Inc.,11795953,00721733001613,,11795953,Patron Citronge,Products,40.25,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11795953-1_1580627113.png,0,,,,,,
United Kingdom,Wales,41 %,Amber,700 ml,The Welsh Whisky Company Limited,Corporation Bella Vita International,13186730,05011594001408,,13186730,Penderyn Myth Single Malt Welsh Whisky Red Wine Finish,Products,63.5,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13186730-1_1600789564.png,,Double vieillissement,,,,,
United States,Tennessee,50 %,,750 ml,Ole Smoky Tennessee Moonshine,Southern Glazers Wine,14494902,00854628006476,,14494902,Ole Smoky Tennessee Moonshine Peppermint,Products,42,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14494902-1_1605810338.png,,,,,,,
Canada,Quebec,43 %,,500 ml,Brasserie et Distillerie Oshlag,Maltage &amp; Distillation McAuslan Inc.,13532161,00628055463115,Made in Québec,13532161,Peter McAuslan's Holy Smoke!,Products,39.75,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13532161-1_1578537309.png,0,,,,,,
United Kingdom,"Scotland, Highlands",43 %,Amber,750 ml,United Distillers Plc,Diageo Canada Inc.,503094,00088076171763,,503094,Oban Distiller's Edition Double Vieillissement Scotch Single Malt,Products,145.5,true,simple,0,https://www.saq.com/media/catalog/product/5/0/503094-1_1580601922.png,,Double vieillissement,,,,,
Canada,Quebec,40 %,Pink,750 ml,Brasserie et Distillerie Oshlag,Transbroue Inc.,14592220,00628055463979,Made in Québec,14592220,Oshlag Hibiscus,Products,45.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14592220-1_1603400140.png,0,,,,,,
Italy,,44 %,,700 ml,D.I.S. SRL Distillers &amp; Distributors,Sélections Bacchus,13263731,08032894130831,,13263731,Panarea Island Gin,Products,46.5,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13263731-1_1578443415.png,0,,,,,,
Mexico,,35 %,Black,750 ml,The Patron Spirits Company,Bacardi Canada Inc.,11542121,00721733800032,,11542121,Patron X.O.,Products,46.75,true,simple,5,https://www.saq.com/media/catalog/product/1/1/11542121-1_1580622624.png,1,,,,,,
Italy,,26 %,Yellow,500 ml,Pallini,Maison Invino Inc.,12104878,08005713352646,,12104878,Pallini Limoncello,Products,20.6,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12104878-1_1580659520.png,0,,,,,,
Canada,Ontario,40 %,,750 ml,Les Distilleries Corby Ltée,Corby Spiritueux et Vins Limitée,135566,00048415502559,,135566,Polar Ice,Products,21.95,true,simple,5,https://www.saq.com/media/catalog/product/1/3/135566-1_1581375948.png,1,,,,,,
United Kingdom,"Scotland, Highlands",40 %,Amber,750 ml,Old Pulteney,Importation Épicurienne Inc,14495665,04000144956658,,14495665,Old Pulteney 12 ans Highland Scotch Single Malt,Products,78.25,true,simple,0,,,,,,,,
Canada,Quebec,40 %,,750 ml,Brasserie et Distillerie Oshlag,Transbroue Inc.,14393386,00628055463764,Made in Québec,14393386,Oshlag Vodka,Products,38.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14393386-1_1590783316.png,0,,,,,,
Canada,Quebec,43 %,Golden,700 ml,ODwyer Micro-Distillerie gaspésienne inc.,Agence Goutte-à-Goutte s.e.n.c.,14510319,01357945000053,Origine Québec,14510319,O'Dwyer Gaspesienne #20 Acérum,Products,65.25,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14510319-1_1592917806.png,0,,,,,,
United Kingdom,"Scotland, Highlands",46 %,Golden,750 ml,Old Pulteney,Importation Épicurienne Inc,13989559,00632070101334,,13989559,Old Pulteney Huddart,Products,90.25,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13989559-1_1578547816.png,,Peated,,,,,
France,,40 %,Brown,750 ml,C. Ferrand,Corporation Bella Vita International,13299291,00695521151456,,13299291,Plantation Original Dark,Products,30.5,true,simple,5,https://www.saq.com/media/catalog/product/1/3/13299291-1_1578444010.png,1,,,,,,
Canada,Quebec,40 %,White,750 ml,Cherry River,Amphora Vins Fins et Spiritueux,14545132,00627987103656,Made in Québec,14545132,Opémiska,Products,39.25,true,simple,5,https://www.saq.com/media/catalog/product/1/4/14545132-1_1594231230.png,1,,,,,,
Ireland,,17 %,Beige,750 ml,First Ireland Spirits Ltd.,Sylvestre Vins et Spiritueux Inc.,379032,05390424120817,,379032,O'Casey's,Products,23,true,simple,5,https://www.saq.com/media/catalog/product/3/7/379032-1_1580598022.png,1,,,,,,
United States,Kentucky,40 %,Amber,750 ml,Luxco Inc.,Southern Glazers Wine,13593132,00088352117942,,13593132,Rebel Yell Kentucky Straight Bourbon,Products,36.75,true,simple,2,https://www.saq.com/media/catalog/product/1/3/13593132-1_1578538521.png,1,,,,,,
Canada,Quebec,37.5 %,Violet,700 ml,PUR Vodka,Vins Philippe Dandurand Ltée,14646929,00749403354951,Bottled in Québec,14646929,Pur Vodka Série Autographe Bleuet Sauvage Yuzu,Products,49.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14646929-1_1607350567.png,0,,,,,,
Canada,Quebec,40 %,Pink,700 ml,Prose Vodka,Tanium Vins et Spiritueux inc.,14252639,00671339552531,Bottled in Québec,14252639,Prose Vodka,Products,45,true,simple,5,https://www.saq.com/media/catalog/product/1/4/14252639-1_1580352617.png,1,,,,,,
France,Poitou-Charentes,40 %,Amber,750 ml,E. Remy-Martin &amp; Cie.,Southern Glazers Wine,4101,03024482270123,,4101,Rémy Martin V.S.O.P. Fine Champagne,Products,84.5,true,simple,0,https://www.saq.com/media/catalog/product/4/1/4101-1_1580600722.png,0,V.S.O.P. (Very Special Old Pale),,Cognac,Appellation origine controlée (AOC),,
Canada,Quebec,43 %,,700 ml,ODwyer Micro-Distillerie gaspésienne inc.,Agence Goutte-à-Goutte s.e.n.c.,14567438,01513794500018,Made in Québec,14567438,Radoune,Products,40,true,simple,5,https://www.saq.com/media/catalog/product/1/4/14567438-1_1606855224.png,1,,,,,,
France,,45 %,Amber,750 ml,Ricard SA,Corby Spiritueux et Vins Limitée,15693,03163937836009,,15693,Ricard,Products,28.05,true,simple,0,https://www.saq.com/media/catalog/product/1/5/15693-1_1580591717.png,0,,,,,,
Canada,Quebec,46 %,,750 ml,PUR Vodka,Vins Philippe Dandurand Ltée,13735305,00040232205811,Bottled in Québec,13735305,Romeo's Gin,Products,39.75,true,simple,2.5,https://www.saq.com/media/catalog/product/1/3/13735305-1_1603910773.png,2,,,,,,
Canada,Quebec,43 %,Golden,750 ml,ODwyer Micro-Distillerie gaspésienne inc.,Agence Goutte-à-Goutte s.e.n.c.,14003528,01357945000022,Made in Québec,14003528,Radoune Barrel Aged,Products,60.5,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14003528-1_1606855224.png,0,,,,,,
Canada,,21 %,Violet,1.14 L,Mondia Alliance,Univins et spiritueux Inc,12099950,00057496004067,Bottled in Québec,12099950,Premixxx P Star,Products,33,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12099950-1_1580659511.png,,,,,,,
Canada,Quebec,40 %,,750 ml,United Distillers Canada Inc.,Diageo Canada Inc.,2444,00622153160044,Bottled in Québec,2444,Ron Carioca Premium,Products,21.9,true,simple,0,https://www.saq.com/media/catalog/product/2/4/2444-1_1580592920.png,,,,,,,
Canada,Quebec,40 %,,1.14 L,United Distillers Canada Inc.,Diageo Canada Inc.,11584806,00622153160068,Bottled in Québec,11584806,Ron Carioca Premium,Products,32.75,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11584806-1_1580623818.png,,,,,,,
Canada,Ontario,40 %,,1.14 L,Les Distilleries Corby Ltée,Corby Spiritueux et Vins Limitée,11495168,00048415345927,,11495168,Polar Ice,Products,33.75,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11495168-1_1582661105.png,0,,,,,,
Canada,"Quebec, Cantons de lEst",41 %,,750 ml,Les Spiritueux Ungava Ltée,Corby Spiritueux et Vins Limitée,12392451,00854745000470,Made in Québec,12392451,Quartz Premium,Products,35.5,true,simple,2,https://www.saq.com/media/catalog/product/1/2/12392451-1_1580664025.png,1,,,,,,
United Kingdom,"Scotland, Islay",55.2 %,Amber,750 ml,Diageo Canada Inc.,Diageo Canada Inc.,13323095,05000281046051,,13323095,Port Ellen 37 Years Old 16th Release Islay Single Malt Scotch Whisky,Products,4999.25,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13323095-1_1578534311.png,,Mention dâge,,,,,
France,Poitou-Charentes,40 %,Amber,750 ml,Cls Rémy Cointreau,Southern Glazers Wine,583468,00087236002336,,583468,Rémy Martin X.O.,Products,264.75,true,simple,0,https://www.saq.com/media/catalog/product/5/8/583468-1_1580603120.png,0,,,Cognac,Appellation origine controlée (AOC),,
Canada,Quebec,46 %,,1.5 L,PUR Vodka,Vins Philippe Dandurand Ltée,14553618,00040232349041,Bottled in Québec,14553618,Romeo's Gin Gift Pack,Products,79.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14553618-1_1605794133.png,,,,,,,
Canada,Quebec,40 %,,750 ml,PUR Vodka,Vins Philippe Dandurand Ltée,13536031,00040232673818,Bottled in Québec,13536031,Pur Ultra Premium,Products,45.25,true,simple,5,https://www.saq.com/media/catalog/product/1/3/13536031-1_1578537311.png,1,,,,,,
Italy,,38 %,,750 ml,Pernod Ricard Italia,Corby Spiritueux et Vins Limitée,323972,08006550943233,,323972,Ramazzotti Sambuca,Products,23.95,true,simple,0,https://www.saq.com/media/catalog/product/3/2/323972-1_1580593814.png,,,,,,,
Canada,Quebec,41 %,Pink,750 ml,PUR Vodka,Vins Philippe Dandurand Ltée,14431080,00040232418624,Bottled in Québec,14431080,Romeo's Gin X,Products,39.75,true,simple,5,https://www.saq.com/media/catalog/product/1/4/14431080-1_1602261345.png,4,,,,,,
Italy,Veneto,40 %,,500 ml,Poli Distillerie,Montalvin Inc. (GB),11003338,08014115000123,,11003338,Poli Bassano Del Grappa,Products,27.8,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11003338-1_1580611513.png,0,,,,,,
France,,40 %,Amber,750 ml,William Grant &amp; Sons Distillers Ltd,Peter Mielzynski Agencies Limited,107169,03253430105006,,107169,Raynal V.S.O.P,Products,25.35,true,simple,0,https://www.saq.com/media/catalog/product/1/0/107169-1_1580592011.png,0,,,,,,
Canada,Quebec,41 %,,750 ml,Portage,Tocade,13638151,00627843561859,Made in Québec,13638151,Portage,Products,45.5,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13638151-1_1578539721.png,0,London dry gin,,,,,
Canada,Quebec,33 %,,750 ml,Les Spiritueux Iberville,Représentation La Rep Inc.,14154262,00627843837206,Bottled in Québec,14154262,Pomodoro,Products,29.65,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14154262-1_1578552917.png,0,,,,,,
Canada,Quebec,40 %,,1.75 L,United Distillers Canada Inc.,Diageo Canada Inc.,34124,00622153160075,Bottled in Québec,34124,Ron Carioca Premium,Products,48.5,true,simple,0,https://www.saq.com/media/catalog/product/3/4/34124-1_1582574719.png,,,,,,,
United States,New-Jersey,46 %,Amber,750 ml,Sailor Jerry Rum,Peter Mielzynski Agencies Limited,11315083,00083664873319,,11315083,Sailor Jerry l'Original,Products,31,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11315083-1_1580615724.png,0,,,,,,
Canada,Quebec,40 %,,750 ml,Distillerie de Montréal,Sélections Oeno Inc,14620497,00628176471068,Made in Québec,14620497,Rosemont Madame Gin,Products,44.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14620497-1_1604506563.png,0,,,,,,
Russian Federation,,40 %,,1.14 L,Russian Vodka,Société Commerciale Clément,11677877,04603400001224,,11677877,Russian Standard,Products,39.25,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11677877-1_1592241933.png,,Number of distilaltions,,,,,
Canada,Quebec,50 %,Amber,750 ml,Distillerie de Montréal,Sélections Oeno Inc,14145438,00627843872634,Made in Québec,14145438,Rosemont Pastis de Montréal,Products,39.75,true,simple,3,https://www.saq.com/media/catalog/product/1/4/14145438-1_1578552620.png,1,,,,,,
Canada,Quebec,40 %,,750 ml,1769 Distillery,Authentic Vins et Spiritueux inc,14392607,00628451469131,Made in Québec,14392607,Royalmount,Products,49.5,true,simple,4.5,https://www.saq.com/media/catalog/product/1/4/14392607-1_1582741510.png,2,,,,,,
Mexico,,40 %,,750 ml,Tequila Sauza SA de CV,Beam Canada Inc.,2485,00080686832010,,2485,Sauza Silver,Products,32.5,true,simple,0,https://www.saq.com/media/catalog/product/2/4/2485-1_1580592922.png,0,,,,,,
Canada,Quebec,43 %,,750 ml,Distillerie Grand Dérangement inc.,,14623137,00627987313307,Origine Québec,14623137,Saga,Products,49.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14623137-1_1607367952.png,0,London dry gin,Organic product,,,,
Canada,Quebec,40 %,Pink,750 ml,Distillerie de Montréal,Sélections Oeno Inc,14480391,00627843872696,Made in Québec,14480391,Rosemont Gin Rose de Montréal,Products,45,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14480391-1_1594231229.png,0,,,,,,
Mexico,,40 %,,1.14 L,Tequila Sauza SA de CV,Beam Canada Inc.,11495571,00080686832034,,11495571,Sauza Silver,Products,47.75,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11495571-1_1580622316.png,0,,,,,,
Canada,Quebec,40 %,Amber,1.14 L,Joseph E. Seagram &amp; Sons Limited,Charton Hobbs Inc,11584136,00088004037284,Bottled in Québec,11584136,Seagram's V.O.,Products,35.75,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11584136-1_1580623815.png,0,,,,,,
Canada,"Quebec, Montreal",42.8 %,Amber,750 ml,Distillerie de Montréal,Sélections Oeno Inc,14347953,00627843872658,Origine Québec,14347953,Rosemont La Pomme,Products,57.75,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14347953-1_1578555020.png,0,,,,,,
United States,Wisconsin,13.7 %,White,750 ml,Rumchata,Southern Glazers Wine,12638482,00890355001025,,12638482,Rumchata,Products,30.5,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12638482-1_1578360013.png,0,,,,,,
Canada,Quebec,40 %,,1.14 L,Bacardi Canada Inc.,Bacardi Canada Inc.,53546,00620213100511,Bottled in Québec,53546,Russian Prince,Products,29.9,true,simple,0,https://www.saq.com/media/catalog/product/5/3/53546-1_1580602227.png,0,,,,,,
Canada,Quebec,40 %,,750 ml,Distillerie de Montréal,Sélections Oeno Inc,14480367,00627843872689,Made in Québec,14480367,Rosemont Gin,Products,45,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14480367-1_1592912412.png,0,,,,,,
Canada,Quebec,43 %,White,750 ml,Distillerie de Montréal,Sélections Oeno Inc,14033401,00627843872627,Made in Québec,14033401,Rosemont Rhum,Products,40.5,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14033401-1_1578549910.png,0,,,,,,
Canada,Quebec,40 %,Amber,750 ml,Distillerie de Montréal,Sélections Oeno Inc,14480666,00628176471013,Made in Québec,14480666,Rosemont l'Après-Ski,Products,40.25,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14480666-1_1592505014.png,0,,,,,,
Canada,Quebec,40 %,Amber,750 ml,Distillerie de Montréal,Sélections Oeno Inc,14018359,00627843872610,Made in Québec,14018359,Rosemont Spiced,Products,37.25,true,simple,5,https://www.saq.com/media/catalog/product/1/4/14018359-1_1578549022.png,2,,,,,,
Canada,Quebec,30.8 %,Amber,750 ml,Breuvages Trybec Inc.,Amphora Vins Fins et Spiritueux,14485619,00628110058508,Bottled in Québec,14485619,Sap 56,Products,44.75,true,simple,5,https://www.saq.com/media/catalog/product/1/4/14485619-1_1588948522.png,1,,,,,,
Canada,Quebec,43 %,Amber,750 ml,Distillerie de Montréal,Sélections Oeno Inc,14480711,00628176471006,Origine Québec,14480711,Rosemont Laurentia 3 Years Old,Products,65.5,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14480711-1_1592511615.png,0,,,,,,
Cuba,,34 %,Amber,700 ml,Empresa de Bebidas y Refrescos,G à la deux Importations de spiritueux,13469246,08500000191026,,13469246,Ron Legendario Elixir de Cuba,Products,42.25,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13469246-1_1578536121.png,0,,,,,,
Canada,Quebec,40 %,,750 ml,Distillerie de Montréal,Sélections Oeno Inc,14178563,00627843872603,Made in Québec,14178563,Rosemont Vodka,Products,40.25,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14178563-1_1579300520.png,0,,,,,,
Martinique,,40 %,Amber,750 ml,Rhums Martiniquais Saint James,Univins et spiritueux Inc,27763,03255537507066,,27763,Saint James Royal Ambré,Products,29.65,true,simple,1,https://www.saq.com/media/catalog/product/2/7/27763-1_1580593219.png,2,,,Martinique,Appellation origine controlée (AOC),,
United States,New-Jersey,46 %,Amber,1.14 L,Sailor Jerry Rum,Peter Mielzynski Agencies Limited,12051382,00083664873333,,12051382,Sailor Jerry,Products,45.75,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12051382-1_1580658923.png,0,,,,,,
Canada,Quebec,40 %,Amber,750 ml,Rhum Sainte Marie,"Elixirs, Vins et Spiritueux Inc.",13448162,00627843561835,Bottled in Québec,13448162,Sainte-Marie,Products,37.5,true,simple,3.65,https://www.saq.com/media/catalog/product/1/3/13448162-1_1606404665.png,3,,,,,,
Canada,Quebec,42 %,Amber,750 ml,Maison Sivo Inc.,Représentation La Rep Inc.,13566847,06278434823210,Origine Québec,13566847,Sivo Le Single Malt,Products,55.25,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13566847-1_1578537623.png,0,,,,,,
United States,Illinois,30 %,,750 ml,Diageo Canada Inc.,Diageo Canada Inc.,14438935,00082000792833,,14438935,Smirnoff Infusions Cucumber and Lime,Products,23.7,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14438935-1_1583856018.png,0,,,,,,
Canada,Quebec,23 %,Yellow,500 ml,Maison Sivo Inc.,Représentation La Rep Inc.,14560391,00627987041323,Made in Québec,14560391,Sivo Série Liquoriste Pêche,Products,27.85,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14560391-1_1600789569.png,0,,,,,,
Canada,Quebec,40 %,,1.75 L,Sté Pierre Smirnoff Fils,Diageo Canada Inc.,38505,00776103000284,Bottled in Québec,38505,Smirnoff No.21,Products,54,true,simple,0,https://www.saq.com/media/catalog/product/3/8/38505-1_1590503109.png,,,,,,,
Canada,"Quebec, Montérégie",18 %,Red,500 ml,Maison Sivo Inc.,Représentation La Rep Inc.,14347988,00627987041293,Made in Québec,14347988,Sivo Cranberry Liquor,Products,27.9,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14347988-1_1578555021.png,,,,,,,
France,,21 %,,750 ml,Pernod SA,Corby Spiritueux et Vins Limitée,10864700,00080432316672,,10864700,Soho,Products,26.3,true,simple,0,https://www.saq.com/media/catalog/product/1/0/10864700-1_1580609708.png,,,,,,,
